"Date","Price","Open","High","Low","Vol.","Change %"
"08/12/2025","3,346.20","3,342.64","3,359.27","3,331.03","","0.04%"
"08/11/2025","3,344.83","3,398.50","3,405.10","3,340.82","","-1.59%"
"08/08/2025","3,398.78","3,397.28","3,408.83","3,379.61","","0.04%"
"08/07/2025","3,397.31","3,366.11","3,402.71","3,364.77","","0.84%"
"08/06/2025","3,369.04","3,379.69","3,385.47","3,358.26","","-0.36%"
"08/05/2025","3,381.27","3,373.38","3,390.62","3,349.89","","0.23%"
"08/04/2025","3,373.37","3,365.10","3,385.56","3,345.00","","0.31%"
"08/01/2025","3,362.88","3,290.83","3,363.55","3,281.55","","2.21%"
"07/31/2025","3,290.32","3,275.91","3,314.98","3,273.77","","0.46%"
"07/30/2025","3,275.25","3,324.01","3,334.21","3,268.15","","-1.55%"
"07/29/2025","3,326.84","3,316.54","3,334.21","3,307.95","","0.37%"
"07/28/2025","3,314.64","3,335.00","3,345.56","3,301.66","","-0.68%"
"07/25/2025","3,337.18","3,369.29","3,373.73","3,325.05","","-0.92%"
"07/24/2025","3,368.15","3,387.79","3,393.47","3,351.40","","-0.58%"
"07/23/2025","3,387.78","3,431.26","3,439.09","3,381.45","","-1.27%"
"07/22/2025","3,431.50","3,395.81","3,433.56","3,383.29","","1.05%"
"07/21/2025","3,395.80","3,348.62","3,401.85","3,344.48","","1.36%"
"07/18/2025","3,350.40","3,338.76","3,361.41","3,331.75","","0.34%"
"07/17/2025","3,338.95","3,346.59","3,352.50","3,309.90","","-0.23%"
"07/16/2025","3,346.58","3,322.63","3,377.50","3,319.69","","0.72%"
"07/15/2025","3,322.63","3,343.80","3,366.58","3,320.27","","-0.63%"
"07/14/2025","3,343.80","3,355.91","3,374.94","3,341.10","","-0.36%"
"07/11/2025","3,355.91","3,325.63","3,368.89","3,321.37","","0.99%"
"07/10/2025","3,323.07","3,313.70","3,330.47","3,310.23","","0.28%"
"07/09/2025","3,313.72","3,298.73","3,317.05","3,282.80","","0.39%"
"07/08/2025","3,300.70","3,335.99","3,345.94","3,287.17","","-1.05%"
"07/07/2025","3,335.61","3,335.95","3,343.29","3,296.41","","-0.03%"
"07/04/2025","3,336.64","3,326.44","3,345.15","3,323.59","","0.30%"
"07/03/2025","3,326.57","3,357.36","3,365.81","3,311.70","","-0.92%"
"07/02/2025","3,357.36","3,338.36","3,360.08","3,327.60","","0.54%"
"07/01/2025","3,339.21","3,302.87","3,358.09","3,301.52","","1.08%"
"06/30/2025","3,303.69","3,272.65","3,309.58","3,247.86","","0.90%"
"06/27/2025","3,274.25","3,328.06","3,328.88","3,255.72","","-1.62%"
"06/26/2025","3,328.06","3,332.47","3,350.47","3,310.01","","-0.13%"
"06/25/2025","3,332.46","3,324.20","3,337.23","3,312.00","","0.25%"
"06/24/2025","3,324.20","3,368.79","3,371.01","3,295.38","","-1.33%"
"06/23/2025","3,368.88","3,367.17","3,399.25","3,347.25","","0.02%"
"06/20/2025","3,368.23","3,370.82","3,374.63","3,340.38","","-0.07%"
"06/19/2025","3,370.75","3,369.08","3,388.07","3,347.59","","0.05%"
"06/18/2025","3,369.09","3,390.40","3,400.05","3,362.54","","-0.58%"
"06/17/2025","3,388.74","3,383.20","3,403.39","3,366.25","","0.16%"
"06/16/2025","3,383.20","3,431.54","3,451.62","3,382.40","","-1.44%"
"06/13/2025","3,432.64","3,385.30","3,447.02","3,379.79","","1.40%"
"06/12/2025","3,385.29","3,357.24","3,399.16","3,338.64","","0.94%"
"06/11/2025","3,353.84","3,322.52","3,360.82","3,315.23","","0.93%"
"06/10/2025","3,323.02","3,328.58","3,349.28","3,301.92","","-0.16%"
"06/09/2025","3,328.33","3,311.51","3,338.43","3,293.70","","0.55%"
"06/06/2025","3,310.17","3,354.26","3,375.74","3,306.87","","-1.31%"
"06/05/2025","3,354.16","3,376.55","3,403.55","3,339.20","","-0.66%"
"06/04/2025","3,376.54","3,352.56","3,384.84","3,343.76","","0.72%"
"06/03/2025","3,352.25","3,379.99","3,392.53","3,333.08","","-0.83%"
"06/02/2025","3,380.21","3,289.80","3,383.24","3,289.41","","2.76%"
"05/30/2025","3,289.40","3,319.51","3,322.95","3,271.55","","-0.83%"
"05/29/2025","3,317.02","3,286.36","3,330.94","3,245.55","","0.83%"
"05/28/2025","3,289.76","3,300.70","3,325.68","3,276.31","","-0.33%"
"05/27/2025","3,300.68","3,344.00","3,350.21","3,285.70","","-1.26%"
"05/26/2025","3,342.94","3,354.30","3,357.03","3,323.91","","-0.43%"
"05/23/2025","3,357.42","3,297.15","3,366.39","3,287.24","","1.89%"
"05/22/2025","3,295.00","3,316.49","3,345.62","3,279.55","","-0.60%"
"05/21/2025","3,314.99","3,290.12","3,325.14","3,285.51","","0.76%"
"05/20/2025","3,290.12","3,229.85","3,295.98","3,204.40","","1.87%"
"05/19/2025","3,229.85","3,214.60","3,249.91","3,205.98","","0.85%"
"05/16/2025","3,202.77","3,239.11","3,252.27","3,154.32","","-1.18%"
"05/15/2025","3,240.87","3,178.06","3,241.26","3,120.52","","1.95%"
"05/14/2025","3,178.75","3,248.37","3,257.39","3,167.95","","-2.15%"
"05/13/2025","3,248.47","3,233.40","3,265.44","3,215.96","","0.43%"
"05/12/2025","3,234.70","3,324.98","3,325.42","3,207.67","","-2.70%"
"05/09/2025","3,324.63","3,305.51","3,347.64","3,274.94","","0.58%"
"05/08/2025","3,305.52","3,366.95","3,414.96","3,288.80","","-1.77%"
"05/07/2025","3,365.21","3,430.21","3,438.59","3,360.20","","-1.89%"
"05/06/2025","3,430.21","3,336.39","3,435.17","3,322.98","","2.87%"
"05/05/2025","3,334.50","3,240.00","3,337.81","3,237.81","","2.89%"
"05/02/2025","3,240.88","3,238.55","3,269.49","3,222.75","","0.00%"
"05/01/2025","3,241.00","3,288.55","3,290.94","3,202.09","","-1.45%"
"04/30/2025","3,288.59","3,316.92","3,328.36","3,267.09","","-0.86%"
"04/29/2025","3,317.18","3,341.67","3,349.08","3,299.23","","-0.73%"
"04/28/2025","3,341.67","3,328.40","3,353.33","3,267.81","","0.67%"
"04/25/2025","3,319.45","3,347.20","3,371.15","3,265.25","","-0.89%"
"04/24/2025","3,349.10","3,288.43","3,367.59","3,287.77","","1.85%"
"04/23/2025","3,288.26","3,382.55","3,386.89","3,260.50","","-2.79%"
"04/22/2025","3,382.54","3,421.57","3,500.33","3,366.74","","-1.22%"
"04/21/2025","3,424.30","3,334.41","3,430.93","3,327.82","","2.91%"
"04/17/2025","3,327.54","3,344.41","3,358.00","3,283.87","","-0.47%"
"04/16/2025","3,343.22","3,226.25","3,345.19","3,226.25","121.32K","3.58%"
"04/15/2025","3,227.60","3,210.21","3,234.16","3,209.36","121.32K","0.57%"
"04/14/2025","3,209.28","3,237.35","3,245.84","3,193.41","","-0.83%"
"04/11/2025","3,236.21","3,174.14","3,245.69","3,174.14","","1.96%"
"04/10/2025","3,173.92","3,083.75","3,176.94","3,071.03","","2.98%"
"04/09/2025","3,082.18","2,984.08","3,099.87","2,970.01","","3.30%"
"04/08/2025","2,983.78","2,983.39","3,022.84","2,974.45","","0.04%"
"04/07/2025","2,982.54","3,038.02","3,055.88","2,956.60","","-1.80%"
"04/04/2025","3,037.36","3,113.16","3,137.10","3,015.64","","-2.42%"
"04/03/2025","3,112.83","3,134.16","3,168.04","3,054.19","","-0.66%"
"04/02/2025","3,133.57","3,111.00","3,140.36","3,104.81","","0.74%"
"04/01/2025","3,110.55","3,123.36","3,149.11","3,100.85","","-0.40%"
"03/31/2025","3,123.05","3,086.54","3,128.29","3,076.62","","1.27%"
"03/28/2025","3,084.03","3,056.35","3,086.93","3,053.91","","0.91%"
"03/27/2025","3,056.10","3,019.56","3,059.75","3,017.26","","1.22%"
"03/26/2025","3,019.29","3,020.13","3,032.23","3,012.38","","-0.02%"
"03/25/2025","3,019.85","3,012.40","3,035.94","3,007.53","","0.25%"
"03/24/2025","3,012.27","3,023.03","3,033.44","3,002.34","","-0.38%"
"03/21/2025","3,023.63","3,042.60","3,047.66","2,999.46","","-0.68%"
"03/20/2025","3,044.41","3,046.31","3,057.51","3,025.56","","-0.09%"
"03/19/2025","3,047.18","3,032.20","3,052.30","3,022.73","","0.44%"
"03/18/2025","3,033.95","2,999.11","3,038.45","2,999.11","","1.08%"
"03/17/2025","3,001.47","2,985.80","3,002.23","2,982.13","","0.57%"
"03/14/2025","2,984.42","2,988.38","3,005.08","2,978.41","","-0.11%"
"03/13/2025","2,987.75","2,932.66","2,989.64","2,932.03","","1.90%"
"03/12/2025","2,932.06","2,916.85","2,940.83","2,906.19","","0.55%"
"03/11/2025","2,916.04","2,888.72","2,922.22","2,880.34","","0.92%"
"03/10/2025","2,889.40","2,912.17","2,918.50","2,880.30","","-0.73%"
"03/07/2025","2,910.79","2,910.48","2,930.56","2,896.71","","0.03%"
"03/06/2025","2,909.99","2,918.98","2,926.88","2,891.34","","-0.30%"
"03/05/2025","2,918.84","2,917.59","2,929.94","2,894.19","","0.05%"
"03/04/2025","2,917.49","2,894.05","2,928.15","2,881.81","","0.82%"
"03/03/2025","2,893.71","2,856.71","2,895.45","2,855.63","","1.23%"
"02/28/2025","2,858.60","2,877.66","2,885.34","2,832.63","","-0.61%"
"02/27/2025","2,876.19","2,916.80","2,920.96","2,867.86","","-1.37%"
"02/26/2025","2,916.19","2,915.42","2,930.22","2,890.99","","0.04%"
"02/25/2025","2,915.12","2,951.82","2,954.44","2,888.06","","-1.22%"
"02/24/2025","2,951.19","2,936.41","2,956.37","2,920.77","","0.52%"
"02/21/2025","2,936.03","2,939.00","2,950.01","2,916.70","","-0.09%"
"02/20/2025","2,938.70","2,932.81","2,954.97","2,924.20","","0.21%"
"02/19/2025","2,932.64","2,935.73","2,947.23","2,918.50","","-0.10%"
"02/18/2025","2,935.58","2,897.51","2,937.46","2,891.94","","1.31%"
"02/17/2025","2,897.66","2,883.55","2,906.69","2,887.20","","0.50%"
"02/14/2025","2,883.18","2,929.19","2,940.23","2,876.96","","-1.57%"
"02/13/2025","2,929.03","2,904.10","2,929.74","2,900.20","","0.87%"
"02/12/2025","2,903.66","2,898.90","2,909.16","2,864.01","","0.18%"
"02/11/2025","2,898.34","2,907.47","2,943.25","2,881.76","","-0.31%"
"02/10/2025","2,907.34","2,864.08","2,911.60","2,854.69","","1.64%"
"02/07/2025","2,860.39","2,856.60","2,886.96","2,852.55","","0.14%"
"02/06/2025","2,856.50","2,865.26","2,873.74","2,834.40","","-0.30%"
"02/05/2025","2,865.09","2,842.06","2,882.53","2,839.32","","0.81%"
"02/04/2025","2,841.94","2,814.80","2,845.57","2,806.90","","1.01%"
"02/03/2025","2,813.49","2,801.40","2,831.70","2,771.69","","0.45%"
"01/31/2025","2,801.00","2,794.04","2,817.57","2,790.78","","0.25%"
"01/30/2025","2,793.88","2,757.90","2,798.80","2,757.24","","1.31%"
"01/29/2025","2,757.71","2,763.48","2,766.53","2,744.71","","-0.20%"
"01/28/2025","2,763.11","2,742.57","2,765.18","2,734.68","","0.80%"
"01/27/2025","2,741.10","2,770.70","2,773.02","2,729.80","","-1.09%"
"01/24/2025","2,771.30","2,754.06","2,786.04","2,752.56","","0.64%"
"01/23/2025","2,753.69","2,755.96","2,759.06","2,735.85","","-0.05%"
"01/22/2025","2,755.02","2,745.08","2,763.72","2,741.83","121.32K","0.39%"
"01/21/2025","2,744.39","2,709.01","2,746.88","2,702.49","121.32K","1.34%"
"01/20/2025","2,708.06","2,702.51","2,714.40","2,689.32","121.32K","0.24%"
"01/17/2025","2,701.55","2,713.85","2,717.73","2,698.41","121.32K","-0.45%"
"01/16/2025","2,713.77","2,695.96","2,724.86","2,690.00","121.32K","0.67%"
"01/15/2025","2,695.82","2,677.29","2,697.85","2,669.04","121.32K","0.70%"
"01/14/2025","2,677.16","2,662.53","2,678.44","2,659.79","121.32K","0.56%"
"01/13/2025","2,662.12","2,689.35","2,693.77","2,656.73","121.32K","-1.02%"
"01/10/2025","2,689.63","2,670.74","2,698.57","2,663.65","121.32K","0.73%"
"01/09/2025","2,670.19","2,662.20","2,675.42","2,662.35","121.32K","0.31%"
"01/08/2025","2,662.06","2,649.85","2,670.60","2,645.03","121.32K","0.47%"
"01/07/2025","2,649.49","2,636.02","2,664.54","2,632.57","","0.54%"
"01/06/2025","2,635.33","2,641.00","2,649.62","2,614.60","","-0.14%"
"01/03/2025","2,639.12","2,657.29","2,665.47","2,636.40","","-0.68%"
"01/02/2025","2,657.16","2,626.60","2,660.85","2,621.51","","1.27%"
